시군구,평수,월세금(만원),건축년도
서울특별시 영등포구 양평동5가,25.7,150,1996
서울특별시 관악구 봉천동,4.8,39,2022
서울특별시 관악구 봉천동,18.1,0,2000
서울특별시 영등포구 당산동5가,18.1,160,1999
서울특별시 영등포구 당산동5가,23.8,220,2002
서울특별시 관악구 봉천동,31.0,0,2002
서울특별시 동작구 사당동,36.3,0,1993
서울특별시 동작구 사당동,35.8,0,1993
서울특별시 영등포구 도림동,25.7,85,2000
서울특별시 동작구 흑석동,25.7,0,2012
서울특별시 송파구 송파동,35.4,0,1985
서울특별시 관악구 봉천동,9.5,67,2022
서울특별시 강동구 천호동,4.5,15,2019
서울특별시 강동구 강일동,18.1,0,2009
서울특별시 강서구 염창동,18.0,120,1999
서울특별시 서대문구 남가좌동,25.7,0,2015
서울특별시 서대문구 남가좌동,25.7,290,2015
서울특별시 마포구 상암동,18.1,0,2003
서울특별시 양천구 신정동,18.1,0,1999
서울특별시 양천구 신정동,15.6,0,1988
서울특별시 양천구 신정동,29.8,0,1987
서울특별시 양천구 신정동,25.7,170,2021
서울특별시 양천구 신정동,25.7,0,2002
서울특별시 양천구 신정동,25.6,180,1996
서울특별시 양천구 신정동,15.1,0,1999
서울특별시 마포구 성산동,15.3,0,1986
서울특별시 양천구 신월동,25.7,155,2020
서울특별시 양천구 목동,28.8,0,1986
서울특별시 양천구 신월동,13.1,0,1988
서울특별시 양천구 목동,29.0,0,2000
서울특별시 양천구 목동,19.7,90,1986
서울특별시 마포구 아현동,18.1,0,2015
서울특별시 마포구 마포동,5.0,54,2012
서울특별시 강서구 염창동,4.5,65,2019
서울특별시 강서구 염창동,18.1,0,2019
서울특별시 마포구 망원동,11.2,100,2013
서울특별시 마포구 서교동,11.2,93,2020
서울특별시 양천구 목동,37.0,0,1986
서울특별시 마포구 신수동,18.1,0,2019
서울특별시 서대문구 남가좌동,36.4,0,2015
서울특별시 양천구 신정동,16.3,0,1987
서울특별시 양천구 신정동,16.6,100,1988
서울특별시 양천구 신정동,18.0,0,2000
서울특별시 마포구 염리동,15.1,0,1997
서울특별시 마포구 성산동,15.1,0,1986
서울특별시 강서구 등촌동,17.6,90,1995
서울특별시 강서구 염창동,25.7,250,2019
서울특별시 마포구 성산동,18.0,0,1986
서울특별시 마포구 공덕동,18.1,0,2011
서울특별시 마포구 공덕동,25.7,380,2021
서울특별시 강서구 염창동,25.7,280,2019
서울특별시 마포구 신공덕동,25.7,255,2011
서울특별시 마포구 아현동,18.1,320,2014
서울특별시 마포구 염리동,25.7,0,2021
서울특별시 서대문구 남가좌동,34.7,0,2018
서울특별시 양천구 목동,25.7,0,2015
서울특별시 양천구 목동,25.6,0,1997
서울특별시 양천구 목동,18.1,0,1999
서울특별시 양천구 목동,16.3,0,1986
서울특별시 양천구 목동,34.9,100,1986
서울특별시 강서구 방화동,19.1,50,1988
서울특별시 구로구 온수동,25.7,0,2010
서울특별시 강서구 화곡동,8.5,91,2019
서울특별시 강서구 화곡동,19.9,20,2006
서울특별시 강서구 화곡동,6.6,8,2020
서울특별시 강서구 화곡동,7.2,30,2021
서울특별시 영등포구 영등포동7가,5.1,50,2012
